"Concentration","time","se","cfu","source","bac","abx"
0.25,6,50275.0766616356,43166.6666666667,"Data","201kt7","ery"
0.5,0,75055.5349946513,163333.333333333,"Data","201kt7","ery"
0.5,1,99289.1400573765,221666.666666667,"Data","201kt7","ery"
0.5,2,12583.0573921179,61666.6666666667,"Data","201kt7","ery"
0.5,3,4041.45188432738,12666.6666666667,"Data","201kt7","ery"
0.5,4,1747.37898961082,3533.33333333333,"Data","201kt7","ery"
0.5,6,2462.21445044903,2250,"Data","201kt7","ery"
1,0,40414.5188432738,158333.333333333,"Data","201kt7","ery"
1,1,78475.0491132904,173333.333333333,"Data","201kt7","ery"
1,2,12189.4763354844,26166.6666666667,"Data","201kt7","ery"
1,3,288.675134594813,3333.33333333333,"Data","201kt7","ery"
1,4,577.350269189626,833.333333333333,"Data","201kt7","ery"
1,6,2830.78316607495,1733.33333333333,"Data","201kt7","ery"
2,0,26457.5131106459,150000,"Data","201kt7","ery"
2,1,30413.8126514911,140000,"Data","201kt7","ery"
2,2,15750.6613617757,16833.3333333333,"Data","201kt7","ery"
2,3,288.675134594813,1833.33333333333,"Data","201kt7","ery"
2,4,763.762615825973,833.333333333333,"Data","201kt7","ery"
2,6,28724.2638431925,16833.3333333333,"Data","201kt7","ery"
4,0,55752.4289455924,136666.666666667,"Data","201kt7","ery"
4,1,75663.7297521078,135000,"Data","201kt7","ery"
4,2,763.762615825973,5166.66666666667,"Data","201kt7","ery"
4,3,2020.72594216369,1666.66666666667,"Data","201kt7","ery"
4,4,550.75705472861,1033.33333333333,"Data","201kt7","ery"
4,6,2150.77505409872,1483.33333333333,"Data","201kt7","ery"
8,0,49244.2890089805,135000,"Data","201kt7","ery"
8,1,40414.5188432738,131666.666666667,"Data","201kt7","ery"
8,2,2466.44143115812,2666.66666666667,"Data","201kt7","ery"
8,3,1443.37567297406,833.333333333333,"Data","201kt7","ery"
8,4,2309.4010767585,1333.33333333333,"Data","201kt7","ery"
8,6,4509.24975282289,4333.33333333333,"Data","201kt7","ery"
16,0,55075.705472861,146666.666666667,"Data","201kt7","ery"
16,1,26457.5131106459,1e+05,"Data","201kt7","ery"
16,2,8371.57890324957,5333.33333333333,"Data","201kt7","ery"
16,3,577.350269189626,333.333333333333,"Data","201kt7","ery"
16,4,548.482755730145,316.666666666667,"Data","201kt7","ery"
16,6,1289.70280814354,1066.66666666667,"Data","201kt7","ery"
32,0,55075.705472861,143333.333333333,"Data","201kt7","ery"
32,1,20816.6599946613,86666.6666666667,"Data","201kt7","ery"
32,2,2886.75134594813,1666.66666666667,"Data","201kt7","ery"
32,3,28.8675134594813,16.6666666666667,"Data","201kt7","ery"
32,4,57.7350269189626,33.3333333333333,"Data","201kt7","ery"
32,6,57.7350269189626,33.3333333333333,"Data","201kt7","ery"
0,0,NA,166666.666666667,"model","201kt7","ery"
0,1,NA,1325276.72670981,"model","201kt7","ery"
0,2,NA,10461525.2012938,"model","201kt7","ery"
0,3,NA,78103807.6888882,"model","201kt7","ery"
0,4,NA,416085891.907737,"model","201kt7","ery"
0,6,NA,1072186714.52426,"model","201kt7","ery"
0.25,0,NA,115000,"model","201kt7","ery"
0.25,1,NA,71952.3318818793,"model","201kt7","ery"
0.25,2,NA,45021.4662655294,"model","201kt7","ery"
0.25,3,NA,28171.6938014708,"model","201kt7","ery"
0.25,4,NA,17628.5410797985,"model","201kt7","ery"
0.25,6,NA,6903.05122618104,"model","201kt7","ery"
0.5,0,NA,163333.333333333,"model","201kt7","ery"
0.5,1,NA,78015.5963447131,"model","201kt7","ery"
0.5,2,NA,37268.2120415668,"model","201kt7","ery"
0.5,3,NA,17804.0140079911,"model","201kt7","ery"
0.5,4,NA,8505.66887171689,"model","201kt7","ery"
0.5,6,NA,1941.34572372156,"model","201kt7","ery"
1,0,NA,158333.333333333,"model","201kt7","ery"
1,1,NA,57009.0522912056,"model","201kt7","ery"
1,2,NA,20528.901499962,"model","201kt7","ery"
1,3,NA,7392.75321025754,"model","201kt7","ery"
1,4,NA,2662.27777724129,"model","201kt7","ery"
1,6,NA,345.265678899458,"model","201kt7","ery"
2,0,NA,150000,"model","201kt7","ery"
2,1,NA,40297.1880905904,"model","201kt7","ery"
2,2,NA,10826.9607843068,"model","201kt7","ery"
2,3,NA,2909.05227942914,"model","201kt7","ery"
2,4,NA,781.628124344356,"model","201kt7","ery"
2,6,NA,56.4286453485623,"model","201kt7","ery"
4,0,NA,136666.666666667,"model","201kt7","ery"
4,1,NA,27193.6579760081,"model","201kt7","ery"
4,2,NA,5411.46793686834,"model","201kt7","ery"
4,3,NA,1076.88999341028,"model","201kt7","ery"
4,4,NA,214.303546199173,"model","201kt7","ery"
4,6,NA,8.48684279726762,"model","201kt7","ery"
8,0,NA,135000,"model","201kt7","ery"
8,1,NA,19813.4870371766,"model","201kt7","ery"
8,2,NA,2908.22467304419,"model","201kt7","ery"
8,3,NA,426.875321486023,"model","201kt7","ery"
8,4,NA,62.6577953111285,"model","201kt7","ery"
8,6,NA,1.34996793019487,"model","201kt7","ery"
16,0,NA,146666.666666667,"model","201kt7","ery"
16,1,NA,15865.7115665256,"model","201kt7","ery"
16,2,NA,1716.43958282918,"model","201kt7","ery"
16,3,NA,185.695805185126,"model","201kt7","ery"
16,4,NA,20.0898256528375,"model","201kt7","ery"
16,6,NA,0.235138694071797,"model","201kt7","ery"
32,0,NA,143333.333333333,"model","201kt7","ery"
32,1,NA,11459.2470470641,"model","201kt7","ery"
32,2,NA,916.224912679823,"model","201kt7","ery"
32,3,NA,73.2573520690681,"model","201kt7","ery"
32,4,NA,5.85734280064129,"model","201kt7","ery"
32,6,NA,0.0374454049348365,"model","201kt7","ery"
0,0,177693.556439169,245000,"Data","201kt7","tet"
0,1,826135.582092915,1550000,"Data","201kt7","tet"
0,2,6788470.61813877,12166666.6666667,"Data","201kt7","tet"
0,3,47258156.2625261,96666666.6666667,"Data","201kt7","tet"
0,4,292973263.854116,616666666.666667,"Data","201kt7","tet"
0,6,327871926.2151,1.3e+09,"Data","201kt7","tet"
0.25,0,232719.43050234,281666.666666667,"Data","201kt7","tet"
0.25,1,556776.436283002,1400000,"Data","201kt7","tet"
0.25,2,3278719.262151,11500000,"Data","201kt7","tet"
0.25,3,62516664.4450368,128333333.333333,"Data","201kt7","tet"
0.25,4,173205080.756888,5.5e+08,"Data","201kt7","tet"
0.25,6,152752523.165195,1383333333.33333,"Data","201kt7","tet"
0.5,0,127671.453348037,210000,"Data","201kt7","tet"
0.5,1,1537313.67434669,2233333.33333333,"Data","201kt7","tet"
0.5,2,5965176.72272443,13333333.3333333,"Data","201kt7","tet"
0.5,3,47696960.0708473,9.5e+07,"Data","201kt7","tet"
0.5,4,275378527.364305,383333333.333333,"Data","201kt7","tet"
0.5,6,132287565.55323,1.55e+09,"Data","201kt7","tet"
1,0,61441.0286372225,230000,"Data","201kt7","tet"
1,1,1144916.29970637,1716666.66666667,"Data","201kt7","tet"
1,2,2254624.87641145,9833333.33333333,"Data","201kt7","tet"
1,3,163273798.67368,161666666.666667,"Data","201kt7","tet"
1,4,125830573.921179,416666666.666667,"Data","201kt7","tet"
1,6,332916405.92397,1583333333.33333,"Data","201kt7","tet"
2,0,56789.0834580027,185000,"Data","201kt7","tet"
2,1,750555.349946514,1566666.66666667,"Data","201kt7","tet"
2,2,1802775.63773199,6500000,"Data","201kt7","tet"
2,3,33291640.592397,78333333.3333333,"Data","201kt7","tet"
2,4,110151410.945722,343333333.333333,"Data","201kt7","tet"
2,6,132287565.55323,1.45e+09,"Data","201kt7","tet"
4,0,106926.766215636,176666.666666667,"Data","201kt7","tet"
4,1,288675.134594813,733333.333333333,"Data","201kt7","tet"
4,2,217944.947177034,1300000,"Data","201kt7","tet"
4,3,5346338.31078181,13166666.6666667,"Data","201kt7","tet"
4,4,17088007.4906351,5.2e+07,"Data","201kt7","tet"
4,6,57735026.9189626,833333333.333333,"Data","201kt7","tet"
8,0,239078.09045024,278333.333333333,"Data","201kt7","tet"
8,1,252306.031107727,363333.333333333,"Data","201kt7","tet"
8,2,102510.162097879,198333.333333333,"Data","201kt7","tet"
8,3,324281.256524847,276666.666666667,"Data","201kt7","tet"
8,4,957862.203033401,9e+05,"Data","201kt7","tet"
8,6,31258332.2225184,29166666.6666667,"Data","201kt7","tet"
16,0,163579.746097533,211666.666666667,"Data","201kt7","tet"
16,1,219620.885467055,296666.666666667,"Data","201kt7","tet"
16,2,9464.84724300045,29166.6666666667,"Data","201kt7","tet"
16,3,1802.77563773199,7000,"Data","201kt7","tet"
16,4,3547.29944229879,4666.66666666667,"Data","201kt7","tet"
16,6,34641.0161513775,90000,"Data","201kt7","tet"
32,0,110000,215000,"Data","201kt7","tet"
32,1,10408.3299973307,156666.666666667,"Data","201kt7","tet"
32,2,3464.10161513775,11500,"Data","201kt7","tet"
32,3,1040.83299973307,4333.33333333333,"Data","201kt7","tet"
32,4,1755.94229214212,3333.33333333333,"Data","201kt7","tet"
32,6,1527.52523165195,2333.33333333333,"Data","201kt7","tet"
0,0,NA,245000,"model","201kt7","tet"
